id,name,y_pos,x_pos,address
EVS_000260,신제주초등학교 버스정류장_대여반납존,33.485,126.49625,제주특별자치도 제주시 신대로 136 
EVS_000002,애월점,33.48467,126.39364,제주특별자치도 제주시 애월읍 하귀2리 2687
EVS_000258,제주시_신제주초등학교_버스정류장_이브이존,33.48435,126.4966,제주특별자치도 제주시 신대로 145 
EVS_000259,제주신용보증기금_대여반납존,33.48435,126.4966,제주특별자치도 제주시 신대로 145 
EVS_000111,롯데시네마 제주아라 교차로_대여반납존,33.48435,126.535757,제주특별자치도 제주시 아라일동 2574-4
EVS_000270,노형E-편한세상 아파트_대여반납존,33.4841,126.4697,제주특별자치도 제주시 수덕로 78 
EVS_000383,노형다담빌리지입구_대여반납존,33.48391,126.464467,제주특별자치도 제주시 노형동 2973
EVS_000127,구엄포구_대여반납존,33.483613,126.376753,제주특별자치도 제주시 애월읍 구엄리 1254-1
EVS_000266,노형주민센터 교차로_대여반납존,33.48335,126.47595,제주특별자치도 제주시 노형로 376 
EVS_000458,스카이리더스호텔_대여반납존,33.482564,126.48969,제주특별자치도 제주시 신광로 106
EVS_000110,롯데마트 제주점 교차로_대여반납존,33.482409,126.481651,제주특별자치도 제주시 연북로 1
EVS_000256,제주 연동 근린공원 교차로_대여반납존,33.48205,126.4897,제주특별자치도 제주시 연북로 78 
EVS_000257,제주 신시가지입구 교차로_대여반납존,33.48195,126.4948,제주특별자치도 제주시 신대로22길 4 
EVS_000363,모이세해장국본점_대여반납존,33.481754,126.505185,제주특별자치도 제주시 연북로 221 
EVS_000436,성산목화휴게소_대여반납존,33.48174,126.901768,제주특별자치도 서귀포시 성산읍 시흥리 1270-1
EVS_000267,한라대학입구 교차로_대여반납존,33.480623,126.47253,제주특별자치도 제주시 한라대학로 1 
EVS_000254,노형근린공원입구_대여반납존,33.47913,126.482578,제주특별자치도 제주시 노형동 731
EVS_000255,제주 연동 대림2차 아파트 교차로,33.479,126.48963,제주특별자치도 제주시 연화로 25 
EVS_000154,중엄리 새물_대여반납존,33.478301,126.369194,제주특별자치도 제주시 애월읍 신엄리 2719-3
EVS_000130,한라대학교 정문_대여반납존,33.476919,126.476999,제주특별자치도 제주시 노형동 3812-2
EVS_000252,제주 부영2차 아파트 교차로_대여반납존,33.47646,126.4835,제주특별자치도 제주시 과원로 11 
EVS_000253,제주 부영3차 아파트 교차로_대여반납존,33.47645,126.48708,제주특별자치도 제주시 과원로 27 
